Gene stable ID,Gene name,NCBI gene (formerly Entrezgene) ID
ENSGALG00010000855,,
ENSGALG00010000856,,
ENSGALG00010000857,,429249
ENSGALG00010000858,,
ENSGALG00010000859,BORA,769298
ENSGALG00010000860,,
ENSGALG00010000861,,
ENSGALG00010000862,,
ENSGALG00010000863,,
ENSGALG00010000864,MZT1,418822
ENSGALG00010000865,,
ENSGALG00010000866,,
ENSGALG00010000867,,
ENSGALG00010000868,,
ENSGALG00010000869,,
ENSGALG00010000870,DACH1,373935
ENSGALG00010000871,,
ENSGALG00010000872,,
ENSGALG00010000873,,
ENSGALG00010000874,,
ENSGALG00010000875,,
ENSGALG00010000876,KLHL1,418799
ENSGALG00010000877,,
ENSGALG00010000878,,
ENSGALG00010000879,,
ENSGALG00010000880,,
ENSGALG00010000881,,
ENSGALG00010000882,,
ENSGALG00010000883,,
ENSGALG00010000884,,
ENSGALG00010000885,,
ENSGALG00010000886,,
ENSGALG00010000887,,121108889
ENSGALG00010000888,,
ENSGALG00010000889,,
ENSGALG00010000890,,
ENSGALG00010000891,,
ENSGALG00010000892,,
ENSGALG00010000893,,
ENSGALG00010000894,,
ENSGALG00010000895,,
ENSGALG00010000896,,
ENSGALG00010000897,,
ENSGALG00010000898,,
ENSGALG00010000899,,
ENSGALG00010000900,,
ENSGALG00010000901,PCDH9,418800
ENSGALG00010000902,,
ENSGALG00010000903,,
